ATF	1.0
30	57    
"Type=GenePix Export 3"
"DateTime=2020/07/24 16:49:01"
"Settings=D:\LM\Experiments\lectin print\Nano plotter\Print\CIVIC data\July 27\Genepix settings\2020-07-24-10288622-D0-1.gps"
"GalFile="
"PixelSize=10"
"Wavelengths=532	635"
"ImageFiles=D:\LM\Experiments\lectin print\Nano plotter\Print\CIVIC data\July 27\scanned images\2020-07-24-10288622-D0-1.tif 1	D:\LM\Experiments\lectin print\Nano plotter\Print\CIVIC data\July 27\scanned images\2020-07-24-10288622-D0-1.tif 0"
"NormalizationMethod=None"
"NormalizationFactors=1	1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (532/635)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=530, 2800"
"Creator=GenePix Pro 7.3.0.0"
"Scanner=GenePix 4400 [140135]"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=580	600"
"ScanPower=100	100"
"LaserPower=1.85	1.42"
"Filters=Standard Green	Standard Red"
"ScanRegion=0,0,2200,7200"
"ScanArea=1"
"Supplier="
"Flags"	"Normalize"	"Autoflag"	"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"F532 CV"	"B532"	"B532 Median"	"B532 Mean"	"B532 SD"	"B532 CV"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"F635 Median"	"F635 Mean"	"F635 SD"	"F635 CV"	"B635"	"B635 Median"	"B635 Mean"	"B635 SD"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F532 Total Intensity"	"F635 Total Intensity"	"SNR 532"	"SNR 635"	"Ratio of Medians (532/635)"	"Ratio of Means (532/635)"	"Median of Ratios (532/635)"	"Mean of Ratios (532/635)"	"Ratios SD (532/635)"	"Rgn Ratio (532/635)"	"Rgn R2 (532/635)"	"Log Ratio (532/635)"	"F532 Median - B532"	"F635 Median - B635"	"F532 Mean - B532"	"F635 Mean - B635"	"Sum of Medians (532/635)"	"Sum of Means (532/635)"	"F Pixels"	"B Pixels"	"Circularity"	"Index"
0	0	0	3	7	12	""	""	18540	6140	180	5492	4609	2297	49	47	47	66	301	456	84	84	0	27995	23222	11809	50	51	51	95	820	863	86	85	0	1179852	5944848	15.093	28.204	0.195	0.197	0.196	0.219	1.897	0.191	0.936	-2.360	5445	27944	4562	23171	33389	27733	256	1263	100	862
0	0	0	3	8	12	""	""	18820	6140	180	5717	5064	1853	36	50	50	94	562	597	91	89	0	28183	24524	9678	39	61	61	105	551	524	94	93	0	1296299	6278244	8.843	44.318	0.202	0.205	0.205	0.201	1.786	0.197	0.934	-2.311	5667	28122	5014	24463	33789	29477	256	1285	100	863
0	0	0	3	9	12	""	""	19090	6140	190	6152	5805	2299	39	55	55	59	23	38	97	96	0	26184	23083	10047	43	72	72	77	36	46	98	96	0	1486136	5909131	249.826	639.056	0.233	0.250	0.240	0.276	2.258	0.228	0.837	-2.099	6097	26112	5750	23011	32209	28761	256	1333	100	864
0	0	0	3	10	12	""	""	19360	6150	190	4826	4426	1902	42	55	55	58	22	37	96	95	0	2692	3323	2917	87	77	77	82	37	45	97	95	0	1133060	850684	198.545	87.595	1.824	1.347	1.750	1.470	1.698	1.058	0.730	0.867	4771	2615	4371	3246	7386	7617	256	1331	100	865
0	0	0	3	11	12	""	""	19620	6150	190	4634	4134	2177	52	55	55	59	28	47	93	89	0	2657	3122	2827	90	75	75	82	49	59	90	88	0	1058278	799172	145.536	62.041	1.773	1.339	1.675	1.466	1.915	1.096	0.760	0.827	4579	2582	4079	3047	7161	7126	256	1337	100	866
0	0	0	3	12	12	""	""	19900	6150	190	4491	4116	2189	53	56	56	60	27	45	93	91	0	2683	3765	3888	103	77	77	83	42	50	93	90	0	1053620	963888	150.222	87.667	1.702	1.101	1.545	1.222	2.000	0.797	0.708	0.767	4435	2606	4060	3688	7041	7748	256	1349	100	867
0	0	0	3	13	12	""	""	20170	6150	200	6124	4997	2460	49	66	66	76	50	65	95	93	0	14914	15791	9681	61	86	86	102	84	82	95	94	0	1579186	4989909	98.420	186.774	0.409	0.314	0.344	0.343	1.807	0.271	0.819	-1.291	6058	14828	4931	15705	20886	20636	316	1416	100	868
0	0	0	3	14	12	""	""	20450	6150	190	6622	6884	5629	81	84	84	106	81	76	100	98	0	15721	17137	9102	53	113	113	159	153	96	100	100	1	1762418	4387056	83.679	110.967	0.419	0.399	0.410	0.374	1.675	0.431	0.785	-1.255	6538	15608	6800	17024	22146	23824	256	1229	100	869
0	0	0	3	15	12	""	""	20710	6160	200	5698	4746	2695	56	114	114	242	680	280	80	78	0	13061	11677	7112	60	237	237	512	1619	316	79	78	0	1499648	3689871	6.624	6.896	0.435	0.405	0.411	0.427	1.763	0.380	0.894	-1.199	5584	12824	4632	11440	18408	16072	316	1619	100	870
0	0	0	3	1	13	""	""	16940	6430	190	1336	1929	1586	82	41	41	46	19	41	99	98	0	2828	3779	2914	77	46	46	52	34	65	99	98	0	493908	967301	99.105	109.618	0.465	0.506	0.571	0.512	2.095	0.454	0.586	-1.103	1295	2782	1888	3733	4077	5621	256	1564	100	871
0	0	0	3	2	13	""	""	17210	6420	190	1237	1847	2467	133	44	44	48	23	47	93	91	0	2027	3837	6062	157	47	47	54	40	74	96	95	0	472717	982315	78.217	94.575	0.603	0.476	0.568	0.517	1.984	0.377	0.645	-0.731	1193	1980	1803	3790	3173	5593	256	1332	100	872
0	0	0	3	3	13	""	""	17480	6420	180	1102	1935	1909	98	44	44	48	20	41	91	91	0	1957	2943	2559	86	49	49	54	27	50	95	92	0	495397	753435	94.350	107.000	0.555	0.653	0.627	0.559	2.293	0.694	0.801	-0.851	1058	1908	1891	2894	2966	4785	256	1236	100	873
0	0	0	3	4	13	""	""	17740	6420	180	9413	8481	5060	59	47	47	52	26	50	92	91	0	11290	11669	8065	69	54	54	71	138	194	87	87	0	2171235	2987190	324.192	84.043	0.834	0.726	0.820	0.754	2.263	0.676	0.776	-0.263	9366	11236	8434	11615	20602	20049	256	1202	100	874
0	0	0	3	5	13	""	""	18020	6420	200	8663	7336	5325	72	46	46	51	25	49	89	84	0	10298	9193	6765	73	53	53	69	131	189	81	78	0	2318202	2904853	291.400	69.649	0.841	0.798	0.855	0.733	2.470	0.781	0.873	-0.250	8617	10245	7290	9140	18862	16430	316	1331	100	875
0	0	0	3	6	13	""	""	18280	6420	180	9960	9115	5193	56	45	45	47	17	36	97	95	0	11593	11369	7127	62	50	50	54	25	46	96	96	0	2333522	2910554	533.412	452.600	0.859	0.801	0.805	0.794	1.918	0.763	0.852	-0.219	9915	11543	9070	11319	21458	20389	256	1162	100	876
0	0	0	3	7	13	""	""	18560	6420	190	6685	6556	2896	44	49	49	51	21	41	100	97	0	6934	8134	5163	63	56	56	62	29	46	100	100	0	1678459	2082391	309.762	278.345	0.965	0.806	0.937	0.784	1.812	0.711	0.804	-0.052	6636	6878	6507	8078	13514	14585	256	1296	100	877
0	0	0	3	8	13	""	""	18830	6430	180	7975	10284	5732	55	53	53	56	21	37	100	100	0	8456	10729	6187	57	69	69	74	32	43	100	100	0	2632676	2746694	487.048	332.969	0.945	0.960	0.969	1.002	1.462	0.940	0.861	-0.082	7922	8387	10231	10660	16309	20891	256	1178	100	878
0	0	0	3	9	13	""	""	19090	6430	190	5652	5944	3762	63	56	56	60	22	36	97	95	0	6629	7931	5862	73	83	83	86	34	39	97	95	0	1521747	2030375	267.455	230.735	0.855	0.750	0.842	0.838	1.885	0.673	0.848	-0.226	5596	6546	5888	7848	12142	13736	256	1276	100	879
0	0	0	3	10	13	""	""	19360	6420	150	3089	2350	1388	59	54	54	58	23	39	89	85	0	26541	23399	14291	61	77	77	83	40	48	97	90	0	366656	3650237	99.652	582.900	0.115	0.098	0.109	0.114	2.167	0.092	0.920	-3.124	3035	26464	2296	23322	29499	25618	156	1024	100	880
0	0	0	3	11	13	""	""	19640	6410	150	3213	2501	1729	69	53	53	58	22	37	93	88	0	25777	21125	12238	57	69	69	76	44	57	96	91	0	390144	3295437	111.045	478.386	0.123	0.116	0.119	0.117	2.063	0.118	0.900	-3.024	3160	25708	2448	21056	28868	23504	156	1021	100	881
0	0	0	3	12	13	""	""	19910	6420	150	3264	2948	2324	78	54	54	59	26	44	95	92	0	27778	23055	11902	51	69	69	78	62	79	99	96	1	459949	3596585	111.115	370.597	0.116	0.126	0.119	0.123	2.018	0.130	0.773	-3.110	3210	27709	2894	22986	30919	25880	156	969	100	882
0	0	0	3	13	13	""	""	20180	6430	190	7931	7367	2526	34	65	65	71	58	81	99	98	0	11924	11523	5101	44	83	83	103	109	105	98	96	0	1886018	2949938	125.793	104.771	0.664	0.638	0.659	0.692	1.455	0.599	0.914	-0.590	7866	11841	7302	11440	19707	18742	256	1133	100	883
0	0	0	3	14	13	""	""	20450	6430	200	8215	6450	3646	56	82	82	90	38	42	91	87	0	11103	9536	5827	61	125	125	145	82	56	89	86	0	2038356	3013421	167.368	114.524	0.741	0.677	0.680	0.667	1.856	0.654	0.955	-0.433	8133	10978	6368	9411	19111	15779	316	1091	100	884
0	0	0	3	15	13	""	""	20710	6420	190	7919	6512	3212	49	106	106	131	205	156	85	84	0	10285	8469	4476	52	220	220	247	164	66	85	84	0	1667027	2168020	31.127	50.134	0.776	0.777	0.781	0.769	2.036	0.740	0.940	-0.365	7813	10065	6406	8249	17878	14655	256	1290	100	885
0	0	0	3	1	14	""	""	16950	6680	150	16134	28765	29205	101	46	46	50	22	44	85	75	13	12803	28390	29604	104	55	55	62	44	70	74	68	23	4487292	4428806	1305.227	643.818	1.262	1.014	1.000	1.036	2.302	1.003	0.955	0.336	16088	12748	28719	28335	28836	57054	156	1009	100	886
0	0	0	3	2	14	""	""	17210	6680	160	587	20081	23476	116	50	50	55	27	49	72	62	2	1519	23158	27866	120	60	60	74	67	90	63	57	11	4176901	4816839	741.704	344.537	0.368	0.867	0.832	0.825	2.756	0.849	0.955	-1.442	537	1459	20031	23098	1996	43129	208	1085	100	887
0	0	0	3	3	14	""	""	17480	6680	150	17148	17099	17038	99	52	52	56	24	42	85	80	2	23522	23689	22421	94	62	62	75	63	84	75	73	6	2667402	3695514	710.125	374.825	0.729	0.722	0.649	0.731	2.588	0.729	0.832	-0.457	17096	23460	17047	23627	40556	40674	156	954	100	888
0	0	0	3	4	14	""	""	17740	6680	170	32037	29537	20507	69	55	55	61	48	78	94	91	4	34777	28956	18028	62	63	63	75	80	106	93	91	0	6143712	6022744	614.083	361.013	0.921	1.020	1.022	0.890	2.384	1.067	0.861	-0.118	31982	34714	29482	28893	66696	58375	208	1137	100	889
0	0	0	3	5	14	""	""	18010	6670	170	32175	27395	20012	73	53	53	60	48	80	84	80	0	32614	26273	17718	67	60	60	74	82	110	85	82	0	5698158	5464865	569.479	319.500	0.987	1.043	1.030	0.869	2.499	1.083	0.852	-0.019	32122	32554	27342	26213	64676	53555	208	1094	100	890
0	0	0	3	6	14	""	""	18290	6680	180	30764	25101	21482	85	50	50	52	20	38	86	83	0	30998	23039	18642	80	59	59	64	34	53	84	80	0	6425750	5897932	1252.450	675.735	0.993	1.090	1.083	0.928	2.536	1.129	0.874	-0.011	30714	30939	25051	22980	61653	48031	256	1214	100	891
0	0	0	3	7	14	""	""	18570	6670	160	11513	14584	15411	105	50	50	53	22	41	92	89	2	37136	27783	20166	72	67	67	72	33	45	92	88	0	3033517	5778760	660.500	839.727	0.309	0.524	0.374	0.480	2.602	0.566	0.611	-1.693	11463	37069	14534	27716	48532	42250	208	1115	100	892
0	0	0	3	8	14	""	""	18850	6670	170	10832	14428	14982	103	52	52	55	23	41	98	95	0	36351	30082	20255	67	75	75	81	35	43	96	95	0	3000932	6257146	624.913	857.171	0.297	0.479	0.312	0.447	2.515	0.527	0.648	-1.751	10780	36276	14376	30007	47056	44383	208	1110	100	893
0	0	0	3	9	14	""	""	19110	6660	170	7965	10065	12890	128	56	56	59	25	42	84	81	0	17304	21372	19872	92	91	91	94	37	39	86	82	0	2093436	4445479	400.240	575.081	0.459	0.470	0.358	0.468	2.450	0.585	0.567	-1.122	7909	17213	10009	21281	25122	31290	208	1134	100	894
0	0	0	3	10	14	""	""	19380	6680	170	273	364	325	89	53	53	57	25	43	87	86	0	378	569	543	95	79	79	85	40	47	90	88	0	75683	118397	12.280	12.100	0.736	0.635	0.688	0.691	2.301	0.643	0.685	-0.443	220	299	311	490	519	801	208	1116	100	895
0	0	0	3	11	14	""	""	19650	6670	180	270	408	448	109	52	52	55	22	40	74	71	0	428	897	3123	348	70	70	74	30	40	79	73	0	104370	229629	16.045	27.433	0.609	0.430	0.672	0.595	2.387	0.113	0.310	-0.716	218	358	356	827	576	1183	256	1220	100	896
0	0	0	3	12	14	""	""	19920	6670	180	301	438	486	110	59	59	65	57	87	71	70	0	474	588	526	89	78	78	102	112	109	74	71	0	112104	150415	6.544	4.339	0.611	0.743	0.673	0.645	2.197	0.887	0.737	-0.710	242	396	379	510	638	889	256	1158	100	897
0	0	0	3	13	14	""	""	20180	6660	180	12494	9957	5573	55	73	73	80	60	75	89	87	0	628	1051	2458	233	98	98	128	119	92	86	82	0	2549026	269178	164.617	7.756	23.436	10.371	17.301	10.671	3.691	7.509	0.241	4.551	12421	530	9884	953	12951	10837	256	1105	100	898
0	0	0	3	14	14	""	""	20450	6660	180	13164	10678	5129	48	78	78	161	1152	715	86	82	0	595	675	514	76	108	108	357	3228	904	0	0	0	2733628	172779	9.129	0.099	26.871	18.695	23.130	16.522	3.103	20.117	0.527	4.748	13086	487	10600	567	13573	11167	256	1097	100	899
0	0	0	3	15	14	""	""	20710	6660	170	12183	10061	4634	46	88	88	191	1133	593	85	84	0	560	627	437	69	168	168	402	3080	766	0	0	0	2092586	130508	8.711	0.073	30.855	21.728	25.883	19.027	3.175	3.421	0.053	4.947	12095	392	9973	459	12487	10432	208	1204	100	900
0	0	0	3	1	15	""	""	16940	6960	200	16334	14607	6379	43	50	50	54	23	42	97	95	0	798	1082	937	86	60	60	66	32	48	93	92	0	4615729	341995	632.739	31.750	22.065	14.244	15.282	15.661	2.452	13.855	0.611	4.464	16284	738	14557	1022	17022	15579	316	1690	100	901
0	0	0	3	2	15	""	""	17200	6950	200	16377	14136	7355	52	57	57	61	26	42	95	90	0	715	1334	4032	302	70	70	80	52	65	88	86	0	4467117	421572	541.346	24.115	25.302	11.138	17.365	15.209	3.274	7.278	0.190	4.661	16320	645	14079	1264	16965	15343	316	1338	100	902
0	0	0	3	3	15	""	""	17470	6950	200	16423	13961	7284	52	61	61	107	788	736	84	83	0	856	1178	1529	129	69	69	84	107	127	84	82	0	4411575	372159	17.581	10.224	20.790	12.534	14.065	14.064	3.145	12.232	0.398	4.378	16362	787	13900	1109	17149	15009	316	1456	100	903
0	0	0	3	4	15	""	""	17760	6940	190	16057	15641	7564	48	63	63	342	2212	646	90	89	0	717	3140	7876	250	67	67	183	1783	974	34	18	0	4003980	803773	6.916	1.658	24.606	5.069	18.455	11.613	4.780	2.404	0.346	4.621	15994	650	15578	3073	16644	18651	256	1343	100	904
0	0	0	3	5	15	""	""	18030	6940	190	16266	15500	5909	38	60	60	178	1608	903	92	91	0	1252	2258	3464	153	64	64	154	1786	1159	38	14	0	3968012	577931	9.529	1.178	13.641	7.037	12.339	9.924	3.536	4.777	0.255	3.770	16206	1188	15440	2194	17394	17634	256	1307	100	905
0	0	0	3	6	15	""	""	18290	6930	190	19927	17023	10374	60	55	55	60	26	43	93	90	0	1893	3687	8684	235	64	64	70	35	50	87	86	0	4357976	943902	652.423	103.343	10.865	4.683	8.897	6.755	2.986	2.756	0.376	3.442	19872	1829	16968	3623	21701	20591	256	1329	100	906
0	0	0	3	7	15	""	""	18570	6950	170	1791	1951	1340	68	51	51	54	26	48	92	90	0	1230	1957	3640	185	74	74	79	34	43	93	92	0	405775	407003	72.962	55.235	1.505	1.009	1.412	1.133	1.996	0.442	0.516	0.590	1740	1156	1900	1883	2896	3783	208	1213	100	907
0	0	0	3	8	15	""	""	18840	6950	180	1261	1774	2656	149	52	52	55	27	49	89	87	0	1118	2414	4540	188	86	86	92	49	53	90	89	0	454138	618073	63.667	47.388	1.172	0.740	1.110	0.859	2.757	0.565	0.694	0.228	1209	1032	1722	2328	2241	4050	256	1352	100	908
0	0	0	3	9	15	""	""	19100	6950	170	1806	1936	1370	70	56	56	66	92	139	84	83	0	1340	2316	4825	208	104	104	116	82	70	87	86	0	402667	481661	20.326	26.829	1.416	0.850	1.355	1.048	2.204	0.314	0.429	0.502	1750	1236	1880	2212	2986	4092	208	1228	100	909
0	0	0	3	10	15	""	""	19380	6920	180	936	1128	1038	92	55	55	63	77	122	73	70	0	1025	1259	1450	115	94	94	104	70	67	75	71	0	288650	322302	13.831	16.500	0.946	0.921	0.947	0.914	2.169	0.767	0.581	-0.080	881	931	1073	1165	1812	2238	256	1325	100	910
0	0	0	3	11	15	""	""	19650	6920	180	860	1015	858	84	53	53	56	22	39	78	75	0	1213	1280	1237	96	81	81	88	40	45	80	78	0	259825	327770	43.591	29.800	0.713	0.802	0.800	0.772	2.292	0.689	0.551	-0.488	807	1132	962	1199	1939	2161	256	1276	100	911
0	0	0	3	12	15	""	""	19930	6920	170	1460	2314	2676	115	61	61	65	32	49	90	88	0	1500	1957	2018	103	98	98	123	91	73	88	87	0	481300	407066	70.281	20.154	0.998	1.212	0.987	0.974	2.237	1.809	0.503	-0.003	1399	1402	2253	1859	2801	4112	208	1154	100	912
0	0	0	3	13	15	""	""	20190	6960	180	6444	6255	3660	58	59	59	66	38	57	93	89	0	778	1354	1967	145	82	82	107	91	85	87	84	0	1601371	346714	162.868	13.703	9.174	4.871	8.061	5.925	2.582	4.029	0.446	3.198	6385	696	6196	1272	7081	7468	256	1252	100	913
0	0	0	3	14	15	""	""	20460	6960	180	8079	7015	4212	60	61	61	135	1094	810	81	79	0	890	1549	3140	202	70	70	289	3066	1060	9	5	0	1795863	396671	6.289	0.411	9.778	4.702	7.381	5.883	2.794	3.190	0.344	3.290	8018	820	6954	1479	8838	8433	256	1218	100	914
0	0	0	3	15	15	""	""	20730	6960	180	6529	5451	3066	56	68	68	135	1013	750	80	77	0	821	863	641	74	98	98	292	2826	967	1	0	0	1395504	220973	5.248	0.202	8.936	7.037	7.305	5.923	2.904	7.019	0.717	3.160	6461	723	5383	765	7184	6148	256	1433	100	915
0	0	0	3	1	16	""	""	16950	7230	170	287	2234	8144	364	50	50	53	21	39	81	73	0	325	2396	8323	347	69	69	75	36	48	80	70	0	464649	498287	103.857	64.472	0.926	0.939	0.931	0.846	2.460	0.974	0.824	-0.111	237	256	2184	2327	493	4511	208	1263	100	916
0	0	0	3	2	16	""	""	17220	7240	180	247	585	1324	226	52	52	56	22	39	71	64	0	246	441	556	126	73	73	78	35	44	71	62	0	149878	113014	24.045	10.371	1.127	1.448	0.988	1.020	3.085	3.376	0.316	0.173	195	173	533	368	368	901	256	1294	100	917
0	0	0	3	3	16	""	""	17490	7230	170	213	3603	7215	200	57	57	70	151	215	50	40	0	284	1333	2402	180	75	75	85	72	84	59	52	0	749393	277309	23.397	17.333	0.746	2.819	1.455	1.320	3.351	3.486	0.673	-0.422	156	209	3546	1258	365	4804	208	1100	100	918
0	0	0	3	4	16	""	""	17750	7230	180	14356	14878	11916	80	65	65	256	1604	626	84	75	0	3680	5114	4828	94	71	71	113	302	267	89	86	0	3808872	1309106	9.116	16.560	3.960	2.937	2.591	2.645	2.768	3.041	0.745	1.985	14291	3609	14813	5043	17900	19856	256	1269	100	919
0	0	0	3	5	16	""	""	18020	7230	180	9267	11584	11379	98	65	65	73	60	82	89	84	0	3305	5532	5707	103	68	68	74	52	70	87	86	0	2965419	1416079	191.850	104.962	2.843	2.108	2.188	1.787	2.658	2.227	0.770	1.507	9202	3237	11519	5464	12439	16983	256	1212	100	920
0	0	0	3	6	16	""	""	18280	7230	180	3888	9405	11523	122	59	59	126	1196	949	73	57	0	1978	3876	4594	118	73	73	213	2391	1122	44	29	0	2407777	992151	7.758	1.532	2.010	2.458	1.955	1.850	2.381	1.825	0.583	1.007	3829	1905	9346	3803	5734	13149	256	1347	100	921
0	0	0	3	7	16	""	""	18580	7220	170	2375	2325	1646	70	53	53	125	1245	996	73	45	0	1766	1898	1311	69	85	85	235	2487	1058	27	1	0	483657	394758	1.767	0.669	1.381	1.253	1.281	0.981	2.206	1.283	0.864	0.466	2322	1681	2272	1813	4003	4085	208	1244	100	922
0	0	0	3	8	16	""	""	18830	7230	170	2404	3982	8647	217	55	55	58	23	39	88	83	0	2028	4682	11875	253	98	98	105	53	50	84	80	1	828283	973797	170.609	86.358	1.217	0.857	1.211	1.036	2.200	0.726	0.854	0.283	2349	1930	3927	4584	4279	8511	208	1180	100	923
0	0	0	3	9	16	""	""	19100	7230	170	2039	1899	1302	68	59	59	67	89	132	81	81	0	1560	1717	1209	70	123	123	131	71	54	82	81	0	395008	357162	20.584	22.338	1.378	1.154	1.232	1.159	1.816	1.138	0.897	0.462	1980	1437	1840	1594	3417	3434	208	1262	100	924
0	0	0	3	10	16	""	""	19390	7230	160	556	1317	2102	159	56	56	58	22	37	97	96	0	1146	2514	3547	141	97	97	103	47	45	99	98	0	274020	522973	57.227	51.298	0.477	0.522	0.508	0.489	3.212	0.444	0.220	-1.069	500	1049	1261	2417	1549	3678	208	1124	100	925
0	0	0	3	11	16	""	""	19650	7230	180	539	1829	3258	178	53	53	57	24	42	88	87	0	1104	2176	3097	142	76	76	86	55	63	88	87	0	468297	556992	73.833	38.000	0.473	0.846	0.475	0.630	4.419	1.115	0.086	-1.081	486	1028	1776	2100	1514	3876	256	1240	100	926
0	0	0	3	12	16	""	""	19920	7230	180	683	1665	2852	171	53	53	58	34	58	88	85	0	1237	2248	2793	124	74	74	92	81	88	88	85	0	426125	575464	47.265	26.617	0.542	0.741	0.506	0.545	3.348	1.069	0.175	-0.884	630	1163	1612	2174	1793	3786	256	1290	100	927
0	0	0	3	13	16	""	""	20200	7200	160	785	1064	883	82	51	51	55	29	52	90	89	0	712	962	1044	108	63	63	68	32	47	95	91	0	221305	200042	34.793	27.938	1.131	1.127	1.280	1.099	2.523	0.460	0.229	0.178	734	649	1013	899	1383	1912	208	1059	100	928
0	0	0	3	14	16	""	""	20470	7200	160	642	894	759	84	56	56	60	24	40	94	92	0	576	780	1029	131	63	63	66	29	43	96	91	0	185913	162304	34.750	24.621	1.142	1.169	1.390	1.259	1.945	0.880	0.502	0.192	586	513	838	717	1099	1555	208	1044	100	929
0	0	0	3	15	16	""	""	20730	7200	170	598	791	741	93	57	57	61	24	39	85	82	0	394	579	524	90	69	69	72	33	45	88	83	0	164598	120520	30.417	15.364	1.665	1.439	1.509	1.364	1.967	1.408	0.734	0.735	541	325	734	510	866	1244	208	1218	100	930
0	0	0	3	1	17	""	""	16930	7490	150	10106	12778	11448	89	49	49	51	21	41	92	88	0	4568	4767	4041	84	64	64	79	222	281	81	81	0	1993373	743619	606.048	21.117	2.233	2.707	2.167	2.057	2.771	3.589	0.529	1.159	10057	4504	12729	4703	14561	17432	156	1070	100	931
0	0	0	3	2	17	""	""	17200	7490	140	8895	7081	4470	63	49	49	53	20	37	91	88	0	5998	7517	6237	82	66	66	70	31	44	90	88	0	1104688	1172589	351.400	240.226	1.491	0.944	1.038	1.000	2.024	0.828	0.829	0.577	8846	5932	7032	7451	14778	14483	156	926	100	932
0	0	0	3	3	17	""	""	17470	7490	160	5116	4299	3687	85	56	56	68	151	222	68	67	0	2380	3666	4564	124	70	70	79	69	87	70	69	0	894161	762599	28.020	51.986	2.190	1.180	1.611	1.224	2.473	0.931	0.715	1.131	5060	2310	4243	3596	7370	7839	208	1083	100	933
0	0	0	3	4	17	""	""	17710	7480	150	5159	3694	2979	80	63	63	66	26	39	80	71	0	3017	5390	6237	115	66	66	73	39	53	74	71	0	576193	840847	139.538	136.333	1.727	0.682	0.979	0.830	2.383	0.516	0.719	0.788	5096	2951	3631	5324	8047	8955	156	960	100	934
0	0	0	3	5	17	""	""	17990	7470	140	4539	3416	2657	77	63	63	69	35	50	85	79	0	3138	6083	7605	125	65	65	79	74	93	77	73	0	532829	948956	95.629	81.135	1.457	0.557	0.778	0.808	2.581	0.357	0.614	0.543	4476	3073	3353	6018	7549	9371	156	934	100	935
0	0	0	3	6	17	""	""	18250	7480	150	2849	2419	1984	82	56	56	76	389	511	66	64	0	2394	4177	5049	120	73	73	90	284	315	71	67	0	377409	651676	6.023	14.391	1.203	0.576	0.792	0.715	2.296	0.419	0.732	0.267	2793	2321	2363	4104	5114	6467	156	980	100	936
0	0	0	3	7	17	""	""	18520	7510	180	257	316	260	82	53	53	127	1276	1004	1	0	0	252	380	456	120	88	88	246	2549	1036	1	0	0	80794	97209	0.148	0.053	1.244	0.901	1.119	1.170	2.869	0.550	0.453	0.315	204	164	263	292	368	555	256	1184	100	937
0	0	0	3	8	17	""	""	18790	7510	180	291	370	326	88	56	56	59	22	37	82	79	0	279	448	557	124	101	101	106	41	38	75	66	0	94783	114672	14.136	8.341	1.320	0.905	1.250	1.159	2.653	0.584	0.548	0.401	235	178	314	347	413	661	256	1067	100	938
0	0	0	3	9	17	""	""	19060	7510	180	337	408	351	86	61	61	77	413	536	33	8	0	306	488	1027	210	130	130	135	58	42	71	61	0	104404	124917	0.801	6.086	1.568	0.969	1.463	1.395	3.036	0.189	0.140	0.649	276	176	347	358	452	705	256	1066	100	939
0	0	0	3	10	17	""	""	19330	7480	180	13278	16990	16112	94	58	58	86	528	613	74	71	0	2177	3764	5002	132	108	108	115	74	64	80	76	0	4349334	963659	32.015	49.311	6.390	4.631	4.526	3.891	3.328	4.709	0.582	2.676	13220	2069	16932	3656	15289	20588	256	1166	100	940
0	0	0	3	11	17	""	""	19600	7480	170	17393	17827	13781	77	53	53	66	132	200	83	83	0	3307	4647	5361	115	65	65	72	45	62	82	82	0	3707962	966476	134.553	101.667	5.349	3.879	4.675	3.896	3.033	4.186	0.540	2.419	17340	3242	17774	4582	20582	22356	208	1075	100	941
0	0	0	3	12	17	""	""	19870	7480	180	11926	13776	13184	95	58	58	76	230	302	75	74	0	2324	4237	5255	124	64	64	75	61	81	78	75	0	3526585	1084674	59.565	68.230	5.251	3.287	3.461	3.181	3.008	3.482	0.574	2.393	11868	2260	13718	4173	14128	17891	256	1162	100	942
0	0	0	3	13	17	""	""	20160	7480	180	3195	5682	5803	102	56	56	60	23	38	95	93	0	800	1317	3898	295	63	63	68	30	44	93	89	0	1454543	337029	244.435	41.633	4.259	4.486	5.142	4.560	3.043	5.494	0.063	2.091	3139	737	5626	1254	3876	6880	256	1267	100	943
0	0	0	3	14	17	""	""	20430	7480	180	4062	6251	5652	90	56	56	60	23	38	96	96	0	700	1191	3608	302	64	64	68	30	44	89	89	0	1600206	304858	269.174	37.433	6.299	5.497	7.362	6.164	2.754	4.148	0.167	2.655	4006	636	6195	1127	4642	7322	256	1266	100	944
0	0	0	3	15	17	""	""	20710	7480	180	3276	5585	5292	94	57	57	61	24	39	96	91	0	685	1226	3339	272	63	63	67	31	46	88	86	0	1429874	313781	230.167	37.387	5.175	4.753	5.756	5.153	3.012	3.905	0.181	2.372	3219	622	5528	1163	3841	6691	256	1430	100	945
0	0	0	3	1	18	""	""	16940	7750	190	693	1208	2324	192	51	51	54	23	42	77	73	0	670	1474	3353	227	60	60	68	44	64	80	73	0	309174	377336	50.174	31.955	1.052	0.818	0.833	0.795	2.520	0.633	0.554	0.074	642	610	1157	1414	1252	2571	256	1535	100	946
