ATF	1.0
30	57    
"Type=GenePix Export 3"
"DateTime=2020/07/24 16:49:01"
"Settings=D:\LM\Experiments\lectin print\Nano plotter\Print\CIVIC data\July 27\Genepix settings\2020-07-24-10288622-D0-1.gps"
"GalFile="
"PixelSize=10"
"Wavelengths=532	635"
"ImageFiles=D:\LM\Experiments\lectin print\Nano plotter\Print\CIVIC data\July 27\scanned images\2020-07-24-10288622-D0-1.tif 1	D:\LM\Experiments\lectin print\Nano plotter\Print\CIVIC data\July 27\scanned images\2020-07-24-10288622-D0-1.tif 0"
"NormalizationMethod=None"
"NormalizationFactors=1	1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (532/635)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=530, 2800"
"Creator=GenePix Pro 7.3.0.0"
"Scanner=GenePix 4400 [140135]"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=580	600"
"ScanPower=100	100"
"LaserPower=1.85	1.42"
"Filters=Standard Green	Standard Red"
"ScanRegion=0,0,2200,7200"
"ScanArea=1"
"Supplier="
"Flags"	"Normalize"	"Autoflag"	"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"F532 CV"	"B532"	"B532 Median"	"B532 Mean"	"B532 SD"	"B532 CV"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"F635 Median"	"F635 Mean"	"F635 SD"	"F635 CV"	"B635"	"B635 Median"	"B635 Mean"	"B635 SD"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F532 Total Intensity"	"F635 Total Intensity"	"SNR 532"	"SNR 635"	"Ratio of Medians (532/635)"	"Ratio of Means (532/635)"	"Median of Ratios (532/635)"	"Mean of Ratios (532/635)"	"Ratios SD (532/635)"	"Rgn Ratio (532/635)"	"Rgn R2 (532/635)"	"Log Ratio (532/635)"	"F532 Median - B532"	"F635 Median - B635"	"F532 Mean - B532"	"F635 Mean - B635"	"Sum of Medians (532/635)"	"Sum of Means (532/635)"	"F Pixels"	"B Pixels"	"Circularity"	"Index"
0	0	0	1	15	1	""	""	4750	3210	180	12334	11996	5392	44	53	53	59	47	79	98	96	0	7367	9142	6859	75	75	75	140	996	711	96	93	0	3070973	2340255	253.979	9.038	1.684	1.317	1.541	1.251	2.168	1.131	0.755	0.752	12281	7292	11943	9067	19573	21010	256	1505	100	15
0	0	0	1	1	2	""	""	970	3460	190	475	472	231	48	55	55	61	30	49	93	91	0	833	880	370	42	106	106	119	102	85	97	95	0	120871	225238	13.700	7.461	0.578	0.539	0.553	0.471	2.038	0.481	0.754	-0.792	420	727	417	774	1147	1191	256	1389	100	16
0	0	0	1	2	2	""	""	1220	3460	200	534	538	285	52	60	60	66	30	45	92	90	0	747	942	1777	188	110	110	124	108	87	93	92	0	170039	297786	15.733	7.574	0.744	0.575	0.732	0.649	2.029	0.152	0.321	-0.426	474	637	478	832	1111	1310	316	1218	100	17
0	0	0	1	3	2	""	""	1500	3470	200	622	594	320	53	61	61	67	32	47	90	86	0	914	927	534	57	119	119	125	58	46	91	88	0	187721	292900	16.469	13.828	0.706	0.660	0.704	0.627	1.938	0.590	0.742	-0.503	561	795	533	808	1356	1341	316	1289	100	18
0	0	0	1	4	2	""	""	1770	3470	190	1136	1701	2111	124	64	64	69	31	44	89	85	0	1379	2278	3384	148	132	132	145	66	45	87	86	0	435566	583061	52.645	32.318	0.860	0.763	0.887	0.737	2.234	0.665	0.595	-0.218	1072	1247	1637	2146	2319	3783	256	1213	100	19
0	0	0	1	5	2	""	""	2040	3470	190	1433	2442	2620	107	68	68	72	31	43	96	94	0	2834	3320	2220	66	158	158	185	188	101	94	92	0	625032	849826	76.452	16.676	0.510	0.751	0.605	0.609	2.169	0.939	0.667	-0.971	1365	2676	2374	3162	4041	5536	256	1250	100	20
0	0	0	1	6	2	""	""	2320	3470	180	1306	1836	1780	96	69	69	73	32	43	96	91	0	1476	3042	6513	214	131	131	168	199	118	94	89	0	469944	778793	55.094	14.442	0.920	0.607	0.889	0.686	2.512	0.221	0.365	-0.121	1237	1345	1767	2911	2582	4678	256	1165	100	21
0	0	0	1	7	2	""	""	2580	3470	190	3237	6569	7617	115	71	71	74	27	36	93	89	0	3164	5376	5447	101	90	90	109	73	66	92	90	0	1681609	1376148	240.556	72.151	1.030	1.229	1.077	0.933	2.161	1.341	0.957	0.043	3166	3074	6498	5286	6240	11784	256	1149	100	22
0	0	0	1	8	2	""	""	2860	3470	180	1169	4511	6969	154	71	71	75	27	36	93	91	0	1271	3772	5111	135	89	89	100	59	59	100	97	0	1154905	965567	164.296	62.237	0.929	1.206	0.985	0.794	2.493	1.334	0.949	-0.106	1098	1182	4440	3683	2280	8123	256	1079	100	23
0	0	0	1	9	2	""	""	3120	3470	180	1342	4459	6893	154	67	67	71	26	36	95	93	0	1602	3917	5334	136	83	83	92	43	46	98	95	0	1141630	1002695	168.769	88.953	0.839	1.146	0.888	0.811	2.069	1.261	0.955	-0.253	1275	1519	4392	3834	2794	8226	256	1084	100	24
